Nfos	FossilName	CrownvsStem	CalibratedTaxon	MinAge	MaxAge	BestPracticeScore	NUsrcrFos	DcrFos	Obs
1	Tetradophis amplectus	stem	Anguimorpha	110	125				
2	Coniophis sp	stem	Anguimorpha	98.32	113				OMNH 33520-21 precloacal vertebrae
3	Haasiophis terrasanctus	crown	"Aniliidae,Tropidophiinae,Macrostomata"	93.9	100.5				HJU-PAL EJ 695 complete skeleton
4	Australophis aniloides	crown	"Aniliidae,Tropidophiidae"	72.1					MML-PV181 precloacal vertebrae
5	Titanoboa cerrejonensis	stem	"Boinae,Erycinae"	58	64				UF/IGM 1 precloacal vertebrae
6	Corallus priscus	crown	"Chilabothrus,Epicrates,Eunectes"	50.2	64				DGM1332-R precloacal vertebrae
7	Eunectes stirtoni	crown	"Epicrates,Eunectes"	12.375					"MNHN, VIV 7, right prootic"
8	Calamagras weigeli	crown	"Ungaliophi,Exiliboa,Charina,Lichanura"	35.2					PTRM19609
9	Gen et sp. Nov. (Charininae)	crown	"Charina,Lichanura"	18.7					UNSM125562
10	Ogmophis compactus	crown	"Loxocemidae,Pythonidae"	35.2					PTRM19378
11	Morelia riversleighensis	stem	"Morelia,Liasis"	12.5					"QM F12926, right maxilla"
