name	forma	varietas	subspecies	species	species subgroup	species group	subgenus	genus	subtribe	tribe	subfamily	family	superfamily	parvorder	infraorder	suborder	order	superorder	infraclass	subclass	class	superclass	subphylum	phylum	superphylum	subkingdom	kingdom	superkingdom
Basiliscus_plumifrons	NA	NA	NA	52191	NA	NA	NA	52190	NA	NA	81969	8515	NA	NA	NA	8511	8509	8504	NA	NA	NA	7776	89593	7711	NA	NA	33208	2759
Basiliscus_basiliscus	NA	NA	NA	161134	NA	NA	NA	52190	NA	NA	81969	8515	NA	NA	NA	8511	8509	8504	NA	NA	NA	7776	89593	7711	NA	NA	33208	2759
Basiliscus_galeritus	NA	NA	NA	211978	NA	NA	NA	52190	NA	NA	81969	8515	NA	NA	NA	8511	8509	8504	NA	NA	NA	7776	89593	7711	NA	NA	33208	2759
Basiliscus_vittatus	NA	NA	NA	211979	NA	NA	NA	52190	NA	NA	81969	8515	NA	NA	NA	8511	8509	8504	NA	NA	NA	7776	89593	7711	NA	NA	33208	2759
Leptotyphlops_conjunctus	NA	NA	NA	711067	NA	NA	NA	39070	NA	NA	NA	34977	34975	NA	8570	34971	8509	8504	NA	NA	NA	7776	89593	7711	NA	NA	33208	2759
Leptotyphlops_distanti	NA	NA	NA	711068	NA	NA	NA	39070	NA	NA	NA	34977	34975	NA	8570	34971	8509	8504	NA	NA	NA	7776	89593	7711	NA	NA	33208	2759
Leptotyphlops_nigricans	NA	NA	NA	711069	NA	NA	NA	39070	NA	NA	NA	34977	34975	NA	8570	34971	8509	8504	NA	NA	NA	7776	89593	7711	NA	NA	33208	2759
Leptotyphlops_nigroterminus	NA	NA	NA	711070	NA	NA	NA	39070	NA	NA	NA	34977	34975	NA	8570	34971	8509	8504	NA	NA	NA	7776	89593	7711	NA	NA	33208	2759
Leptotyphlops_scutifrons	NA	NA	NA	711071	NA	NA	NA	39070	NA	NA	NA	34977	34975	NA	8570	34971	8509	8504	NA	NA	NA	7776	89593	7711	NA	NA	33208	2759
Leptotyphlops_sylvicolus	NA	NA	NA	711072	NA	NA	NA	39070	NA	NA	NA	34977	34975	NA	8570	34971	8509	8504	NA	NA	NA	7776	89593	7711	NA	NA	33208	2759
Leptotyphlops_merkeri	NA	NA	NA	711343	NA	NA	NA	39070	NA	NA	NA	34977	34975	NA	8570	34971	8509	8504	NA	NA	NA	7776	89593	7711	NA	NA	33208	2759
Leptotyphlops_pitmani	NA	NA	NA	711344	NA	NA	NA	39070	NA	NA	NA	34977	34975	NA	8570	34971	8509	8504	NA	NA	NA	7776	89593	7711	NA	NA	33208	2759
Leptotyphlops_kafubi	NA	NA	NA	711345	NA	NA	NA	39070	NA	NA	NA	34977	34975	NA	8570	34971	8509	8504	NA	NA	NA	7776	89593	7711	NA	NA	33208	2759
Epictia_albifrons	NA	NA	NA	711060	NA	NA	NA	711059	NA	NA	NA	34977	34975	NA	8570	34971	8509	8504	NA	NA	NA	7776	89593	7711	NA	NA	33208	2759
Epictia_columbi	NA	NA	NA	711062	NA	NA	NA	711059	NA	NA	NA	34977	34975	NA	8570	34971	8509	8504	NA	NA	NA	7776	89593	7711	NA	NA	33208	2759
Epictia_goudotii	NA	NA	NA	711063	NA	NA	NA	711059	NA	NA	NA	34977	34975	NA	8570	34971	8509	8504	NA	NA	NA	7776	89593	7711	NA	NA	33208	2759
Epictia_magnamaculata	NA	NA	NA	711064	NA	NA	NA	711059	NA	NA	NA	34977	34975	NA	8570	34971	8509	8504	NA	NA	NA	7776	89593	7711	NA	NA	33208	2759
Guinea_bicolor	NA	NA	NA	711066	NA	NA	NA	711065	NA	NA	NA	34977	34975	NA	8570	34971	8509	8504	NA	NA	NA	7776	89593	7711	NA	NA	33208	2759
Mitophis_pyrites	NA	NA	NA	711074	NA	NA	NA	711073	NA	NA	NA	34977	34975	NA	8570	34971	8509	8504	NA	NA	NA	7776	89593	7711	NA	NA	33208	2759
Mitophis_asbolepis	NA	NA	NA	711076	NA	NA	NA	711073	NA	NA	NA	34977	34975	NA	8570	34971	8509	8504	NA	NA	NA	7776	89593	7711	NA	NA	33208	2759
Mitophis_leptepileptus	NA	NA	NA	711077	NA	NA	NA	711073	NA	NA	NA	34977	34975	NA	8570	34971	8509	8504	NA	NA	NA	7776	89593	7711	NA	NA	33208	2759
Myriopholis_macrorhynchus	NA	NA	NA	711080	NA	NA	NA	711079	NA	NA	NA	34977	34975	NA	8570	34971	8509	8504	NA	NA	NA	7776	89593	7711	NA	NA	33208	2759
Myriopholis_adleri	NA	NA	NA	711082	NA	NA	NA	711079	NA	NA	NA	34977	34975	NA	8570	34971	8509	8504	NA	NA	NA	7776	89593	7711	NA	NA	33208	2759
Myriopholis_algeriensis	NA	NA	NA	711083	NA	NA	NA	711079	NA	NA	NA	34977	34975	NA	8570	34971	8509	8504	NA	NA	NA	7776	89593	7711	NA	NA	33208	2759
Myriopholis_blanfordi	NA	NA	NA	711084	NA	NA	NA	711079	NA	NA	NA	34977	34975	NA	8570	34971	8509	8504	NA	NA	NA	7776	89593	7711	NA	NA	33208	2759
